business_name,url,instagram,facebook,email,whatsapp,booking_url,error
Cabinas Los Almendros,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Hotel_Review-g309265-d1048997-Reviews-Cabinas_Los_Almendros-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,,,,,,HTTP 403
"Samasati Yoga and Wellness Retreat - Hone Creek, Limón, Costa Rica",http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Hotel_Review-g309265-d300508-Reviews-Samasati_Yoga_Wellness_Retreat-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,,,,,,HTTP 403
"Tasty Dayz Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.tastydayz.com/,tastydayz,https://www.facebook.com/2008,user@domain.com,,,
"Yuyo Huelal Totga - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://yuyo.info/,,,welcome@yuyo.info,,,
"Casa Roble de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",https://casaroblecr.com,casarobledeplayanegra,https://www.facebook.com/2008,user@domain.com,,,
"Magic Moon Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",https://magicmooncr.com/,,,support@webador.com,,,
"Geckoes Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.geckoeslodge.com,,,,,,
"Casa Mariposa - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://vrbo.com/affiliate/4rIZLYi,,,,,,HTTP 429
"Villa Cabú - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",https://vrbo.com/affiliate/SHXg7os,,,,,,HTTP 429
"Casa Cielo - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",https://vrbo.com/affiliate/BxWlArK,,,,,,HTTP 429
Gigi O Restaurant,https://wearegigi.com/gigi-o,,,,,,HTTP 404
"Tasty Waves Cantina - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.tastydayz.com/cantina,tastydayz,https://www.facebook.com/2008,user@domain.com,,,
"Azul Bar and Grill - Playa Negra, Puerto Viejo, Limón, Costa Rica",http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d7311559-Reviews-Azul_Beach_Club-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,,,,,,HTTP 403
Cafe Rico,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d3169883-Reviews-Cafe_Rico-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,,,,,,HTTP 403
Cafe Viejo,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d3850728-Reviews-Cafe_Viejo_Restaurante_Pizzeria-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,,,,,,HTTP 403
"Casa Rio Restaurant & Bar - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.kqzyfj.com/click-2369666-11552042?url=https%3A%2F%2Fwww.tripadvisor.com%2FRestaurant_Review-g1212465-d10811089-Reviews-Pause_Cafe_Rio_Negro-Cocles_Puerto_Viejo_de_Talamanca_Province_of_Limon.html,,,,,,HTTP 403
La Casita de Monli,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d3572894-Reviews-La_Casita_de_Monli_Bar_Restaurante_and_Grill-Puerto_Viejo_de_Talamanca_Province_o.html,,,,,,HTTP 403
Chile Rojo,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d1509837-Reviews-Chile_Rojo-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,,,,,,HTTP 403
Como en la Gloria,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g1212465-d13339992-Reviews-Como_en_la_Gloria-Cocles_Puerto_Viejo_de_Talamanca_Province_of_Limon.html,,,,,,HTTP 403
