record_id,business_name,area,phone,whatsapp_route,source_class,identity_result,display_name,confidence,review_state,evidence_summary,screenshot_path,screenshot_sha256,completed_at
0f6378a653601b7e,"Bungalow Malú Lodge - Cahuita, Limón, Costa Rica",Cahuita,+506 2755 0114,https://wa.me/50627550114,master_explicit,match,Bungalow Malú,0.95,auto_complete,WhatsApp rendered the visible profile identity Bungalow Malú. Page title: Share on WhatsApp.,screenshots/0f6378a653601b7e.jpg,dd0d447fd0966f239443603f82376cb24a514729635eadd879df05e0dfe0acc9,2026-07-20T11:26:28+00:00
775fac7e31a69139,Cabinas Guarana,Puerto Viejo,+506 2750 0244,https://wa.me/50687903340,master_explicit,match,Hotel Guarana,0.98,auto_complete,Image-backed rerun: visible profile picture and Hotel Guarana identity match Cabinas Guarana.,screenshots/775fac7e31a69139.jpg,12b5ae244f6d789abaf8280974b1260e4685975fd047dc0b8a69d2cad19cbd47,2026-07-20T10:34:05+00:00
62ef82ba8ea6a94b,"Cabinas Kuákua - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,+506 8960 7794,https://wa.me/50689607794,master_explicit,match,Cabinas Kuákua,0.95,auto_complete,WhatsApp rendered the visible profile identity Cabinas Kuákua.,screenshots/62ef82ba8ea6a94b.jpg,19e0920ec74dcfbdc34bee86e791d524de5109a4abc50262ec5374acbb10568e,2026-07-20T10:48:06+00:00
fc766a13fbda4a83,Caribe Love Tattoo,Puerto Viejo,+506 6006 2347,https://wa.me/50660062347,master_explicit,match,Caribe Love Tattoo,0.95,auto_complete,WhatsApp rendered the visible profile identity Caribe Love Tattoo. Page title: Share on WhatsApp.,screenshots/fc766a13fbda4a83.jpg,17bc567315a55667d7b091b6cb9d0a27e89622d49c98cd21e1bfd84e62c602a9,2026-07-20T11:19:41+00:00
aa22e60d7a9c2586,Caribe Shuttle,Puerto Viejo,+506 2750-0626,https://wa.me/50685858448,master_explicit,match,Caribe Shuttle,0.95,auto_complete,WhatsApp rendered the visible profile identity Caribe Shuttle. Page title: Share on WhatsApp.,screenshots/aa22e60d7a9c2586.jpg,69fc4fd1a073729c03f7a2f86972e2430e7ed3b8f3bf0031c6db0099eecda17f,2026-07-20T11:23:36+00:00
7ea10a71774a492e,"Cariblue Beach and Jungle Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,+506 2750 0518,https://wa.me/50683141965,master_explicit,match,Cariblue Beach and Jungle Resort,0.99,auto_complete,Image-backed rerun: visible profile picture and exact Cariblue business identity.,screenshots/7ea10a71774a492e.jpg,3aa4f1949f0292c5a6b1d1c07db18e09d11e6b88c505f76a1dedf613af315329,2026-07-20T10:34:05+00:00
1022474509f6b034,Centro Médico Aruma,Puerto Viejo,+506 8655 5082,https://wa.me/50686555082,master_explicit,match,Centro Médico Aruma,0.95,auto_complete,WhatsApp rendered the visible profile identity Centro Médico Aruma. Page title: Share on WhatsApp.,screenshots/1022474509f6b034.jpg,fe9cca17bfe8aa2f7214894e486e0907962f0dd69b26bc12673e431cc0575fd0,2026-07-20T11:18:47+00:00
f11597ff3f58fdf1,Chile Rojo,Puerto Viejo,+506 2750 0421,https://wa.me/50683963247,master_explicit,match,Chile Rojo,0.95,auto_complete,WhatsApp rendered the visible profile identity Chile Rojo. Page title: Share on WhatsApp.,screenshots/f11597ff3f58fdf1.jpg,a510be7474c7d3dc6cc15acf5f028a1aa852b42ea72523138364e90da14fbd07,2026-07-20T11:14:21+00:00
decf0f845098943a,"Clinica Dental OCI Cahuita - Cahuita, Limón, Costa Rica",Cahuita,+506 8457 9613,https://wa.me/50684579613,master_explicit,match,CLINICA DENTAL OCI CAHUITA,0.95,auto_complete,WhatsApp rendered the visible profile identity CLINICA DENTAL OCI CAHUITA. Page title: Share on WhatsApp.,screenshots/decf0f845098943a.jpg,d3c095cab947acc009aba0edfda20e9fb8a975f2cfdef1f996472edd49a99566,2026-07-20T11:27:12+00:00
bbe566c52ccdd276,"Congo Bongo EcoVillage - Manzanillo, Limón, Costa Rica",Manzanillo,+506 2759 9016,https://wa.me/50689574177,master_explicit,match,Congo Bongo EcoVillage Manzanillo,0.95,auto_complete,WhatsApp rendered the visible profile identity Congo Bongo EcoVillage Manzanillo. Page title: Share on WhatsApp.,screenshots/bbe566c52ccdd276.jpg,1fe02c000a7ec88a15e440096fb81338241d630b85edc21de486b017f4666908,2026-07-20T11:27:34+00:00
